prediction_id,detection_method,prediction_type,reason,asset_name,context_text,video_title,channel_name,label
5aeaaa63-e84a-41b1-a21a-a5217cb352cd,keyword,buy,진입,SK,,8월 3일 장 전 코멘트,급등테마뉴스,correct
79628259-2fa8-4b38-bc71-1232d455d46a,keyword,buy,진입,SK하이닉스,,8월 3일 장 전 코멘트,급등테마뉴스,correct
08b04474-906b-473c-943b-c28761a2df88,keyword,buy,진입,삼성전자,,8월 3일 장 전 코멘트,급등테마뉴스,correct
17a0110b-734e-4ac0-93c7-40f5c8a7bdc7,keyword,buy,"매수, 진입, 매도",대치,,">>**단 하루 7.2조 원, 외국인 금요일 순매수 사상 최대! CITI, 한국 증시 자금 흐름 역풍은 이미 사라져**",급등테마뉴스,wrong_asset
8a266db7-da4d-4033-aad8-0a81a88c0fed,llm,hold,반도체 시장의 불확실성으로 보유 추천,SK하이닉스,,"[✏️ 복습용 풀버전] 코스피 -33% 하락 공포의 7월, 우리는 어떻게 대응해야 할까?  | 증시각도기 곽상준",증시각도기tv,correct
7ee4b05c-9221-4a5d-b43c-5d168caa816f,llm,buy,외국계 대량 매수와 저평가로 안전마진 확보,기아,,"기아 주가 전망, PBR 0.83배에 외국계 폭풍 매수, 벤저민 그레이엄 관점 적정주가는?",경제적 자유를 위하여,correct
7e44b3a0-d3ec-469f-90bf-88d065590a72,llm,buy,하반기 우상향 반등 예측 및 RWA 생태계 확장 가능성,온도파이낸스,,"온도파이낸스(Ondo Finance, ONDO) 향후 시세 예측 및 RWA 섹터 실전 투자·리스크 대응 전략 완벽 가이드",작은재미,correct
d0b361f7-760e-4b6c-b936-5f8136e995c6,llm,hold,현재 박스권 움직임으로 관망 추천,솔라나,,솔라나 코인 시세 분석과 앞으로의 전망,이제이 재테크,correct
3b1fbef9-c7c5-4c9f-baef-0e037d3aa99b,llm,buy,KDDX 7.8조 수주와 방산 모멘텀으로 주가 상승 기대,한화오션,,폭락 후 7% 급등 이유! 한화오션 지금 사도 될까? KDDX 7.8조 수주와 미국 방산 MRO 모멘텀 분석,인생공부의 주식노트,correct
d282169e-dbcb-402a-91c7-287896e5a998,llm,sell,주가가 10만 원대까지 하락하여 부정적인 전망,LG전자,,"""다신 주식 안 할게요"" LG전자 주가 목표가 구조대 이때 온다는데",대중과 멀어지는 삶,wrong_direction
3193f20f-e8e3-46f6-8274-8a15c2dae199,llm,buy,상반기 호실적과 하반기 성장 기대감,LG CNS,,"""상반기 호실적 터졌다"" LG CNS 주가 폭발하나","파이어족의 경제, 금융 이야기",correct
0cb9f95e-aa28-4d91-bea2-79e0f14f1432,llm,buy,우주 AI 시장의 성장 가능성에 따른 투자 추천,스페이스X,,"우주 AI 10년 뒤 5경원 시장 된다, '이 주식' 결국 황제주가 됩니다 (이재훈 작가)",김작가TV,wrong_asset
